RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,LWAP,
5/25/2026,DIPC,5/25/2026 12:05:00 AM,CLUZ,5847.9968,
5/25/2026,DIPC,5/25/2026 12:05:00 AM,CMIN,5847.9968,
5/25/2026,DIPC,5/25/2026 12:05:00 AM,CVIS,5847.9968,
5/25/2026,DIPC,5/25/2026 12:05:00 AM,SYSTEM,5847.9968,
5/25/2026 12:05:00 AM,DIPC,5/25/2026 12:10:00 AM,CLUZ,5777.8075,
5/25/2026 12:05:00 AM,DIPC,5/25/2026 12:10:00 AM,CMIN,5777.8075,
5/25/2026 12:05:00 AM,DIPC,5/25/2026 12:10:00 AM,CVIS,5777.8075,
5/25/2026 12:05:00 AM,DIPC,5/25/2026 12:10:00 AM,SYSTEM,5777.8075,
5/25/2026 12:10:00 AM,DIPC,5/25/2026 12:15:00 AM,CLUZ,5778.1507,
5/25/2026 12:10:00 AM,DIPC,5/25/2026 12:15:00 AM,CMIN,5778.1507,
5/25/2026 12:10:00 AM,DIPC,5/25/2026 12:15:00 AM,CVIS,5778.1507,
5/25/2026 12:10:00 AM,DIPC,5/25/2026 12:15:00 AM,SYSTEM,5778.1507,
5/25/2026 12:15:00 AM,DIPC,5/25/2026 12:20:00 AM,CLUZ,5776.6477,
5/25/2026 12:15:00 AM,DIPC,5/25/2026 12:20:00 AM,CMIN,5776.6477,
5/25/2026 12:15:00 AM,DIPC,5/25/2026 12:20:00 AM,CVIS,5776.6477,
5/25/2026 12:15:00 AM,DIPC,5/25/2026 12:20:00 AM,SYSTEM,5776.6477,
5/25/2026 12:20:00 AM,DIPC,5/25/2026 12:25:00 AM,CLUZ,5778.1117,
5/25/2026 12:20:00 AM,DIPC,5/25/2026 12:25:00 AM,CMIN,5778.1117,
5/25/2026 12:20:00 AM,DIPC,5/25/2026 12:25:00 AM,CVIS,5778.1117,
5/25/2026 12:20:00 AM,DIPC,5/25/2026 12:25:00 AM,SYSTEM,5778.1117,
5/25/2026 12:25:00 AM,DIPC,5/25/2026 12:30:00 AM,CLUZ,5776.7311,
5/25/2026 12:25:00 AM,DIPC,5/25/2026 12:30:00 AM,CMIN,5776.7311,
5/25/2026 12:25:00 AM,DIPC,5/25/2026 12:30:00 AM,CVIS,5776.7311,
5/25/2026 12:25:00 AM,DIPC,5/25/2026 12:30:00 AM,SYSTEM,5776.7311,
5/25/2026 12:30:00 AM,DIPC,5/25/2026 12:35:00 AM,CLUZ,5775.0145,
5/25/2026 12:30:00 AM,DIPC,5/25/2026 12:35:00 AM,CMIN,5775.0145,
5/25/2026 12:30:00 AM,DIPC,5/25/2026 12:35:00 AM,CVIS,5775.0145,
5/25/2026 12:30:00 AM,DIPC,5/25/2026 12:35:00 AM,SYSTEM,5775.0145,
5/25/2026 12:35:00 AM,DIPC,5/25/2026 12:40:00 AM,CLUZ,5775.3443,
5/25/2026 12:35:00 AM,DIPC,5/25/2026 12:40:00 AM,CMIN,5775.3443,
5/25/2026 12:35:00 AM,DIPC,5/25/2026 12:40:00 AM,CVIS,5775.3443,
5/25/2026 12:35:00 AM,DIPC,5/25/2026 12:40:00 AM,SYSTEM,5775.3443,
5/25/2026 12:40:00 AM,DIPC,5/25/2026 12:45:00 AM,CLUZ,5774.7698,
5/25/2026 12:40:00 AM,DIPC,5/25/2026 12:45:00 AM,CMIN,5774.7698,
5/25/2026 12:40:00 AM,DIPC,5/25/2026 12:45:00 AM,CVIS,5774.7698,
5/25/2026 12:40:00 AM,DIPC,5/25/2026 12:45:00 AM,SYSTEM,5774.7698,
5/25/2026 12:45:00 AM,DIPC,5/25/2026 12:50:00 AM,CLUZ,5773.7986,
5/25/2026 12:45:00 AM,DIPC,5/25/2026 12:50:00 AM,CMIN,5773.7986,
5/25/2026 12:45:00 AM,DIPC,5/25/2026 12:50:00 AM,CVIS,5773.7986,
5/25/2026 12:45:00 AM,DIPC,5/25/2026 12:50:00 AM,SYSTEM,5773.7986,
5/25/2026 12:50:00 AM,DIPC,5/25/2026 12:55:00 AM,CLUZ,5087.0946,
5/25/2026 12:50:00 AM,DIPC,5/25/2026 12:55:00 AM,CMIN,5087.0946,
5/25/2026 12:50:00 AM,DIPC,5/25/2026 12:55:00 AM,CVIS,5087.0946,
5/25/2026 12:50:00 AM,DIPC,5/25/2026 12:55:00 AM,SYSTEM,5087.0946,
5/25/2026 12:55:00 AM,DIPC,5/25/2026 1:00:00 AM,CLUZ,4596.6206,
5/25/2026 12:55:00 AM,DIPC,5/25/2026 1:00:00 AM,CMIN,4596.6206,
5/25/2026 12:55:00 AM,DIPC,5/25/2026 1:00:00 AM,CVIS,4596.6206,
5/25/2026 12:55:00 AM,DIPC,5/25/2026 1:00:00 AM,SYSTEM,4596.6206,
5/25/2026 1:00:00 AM,DIPC,5/25/2026 1:05:00 AM,CLUZ,4669.1374,
5/25/2026 1:00:00 AM,DIPC,5/25/2026 1:05:00 AM,CMIN,4669.1374,
5/25/2026 1:00:00 AM,DIPC,5/25/2026 1:05:00 AM,CVIS,4669.1374,
5/25/2026 1:00:00 AM,DIPC,5/25/2026 1:05:00 AM,SYSTEM,4669.1374,
5/25/2026 1:05:00 AM,DIPC,5/25/2026 1:10:00 AM,CLUZ,4597.8813,
5/25/2026 1:05:00 AM,DIPC,5/25/2026 1:10:00 AM,CMIN,4597.8813,
5/25/2026 1:05:00 AM,DIPC,5/25/2026 1:10:00 AM,CVIS,4597.8813,
5/25/2026 1:05:00 AM,DIPC,5/25/2026 1:10:00 AM,SYSTEM,4597.8813,
5/25/2026 1:10:00 AM,DIPC,5/25/2026 1:15:00 AM,CLUZ,4471.7086,
