RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,LWAP,
6/4/2026,DIPC,6/4/2026 12:05:00 AM,CLUZ,3031.2023,
6/4/2026,DIPC,6/4/2026 12:05:00 AM,CMIN,3098.4629,
6/4/2026,DIPC,6/4/2026 12:05:00 AM,CVIS,3008.0268,
6/4/2026,DIPC,6/4/2026 12:05:00 AM,SYSTEM,3037.3790,
6/4/2026 12:05:00 AM,DIPC,6/4/2026 12:10:00 AM,CLUZ,3051.5996,
6/4/2026 12:05:00 AM,DIPC,6/4/2026 12:10:00 AM,CMIN,3126.0786,
6/4/2026 12:05:00 AM,DIPC,6/4/2026 12:10:00 AM,CVIS,3027.9751,
6/4/2026 12:05:00 AM,DIPC,6/4/2026 12:10:00 AM,SYSTEM,3058.7727,
6/4/2026 12:10:00 AM,DIPC,6/4/2026 12:15:00 AM,CLUZ,3029.3344,
6/4/2026 12:10:00 AM,DIPC,6/4/2026 12:15:00 AM,CMIN,3107.0272,
6/4/2026 12:10:00 AM,DIPC,6/4/2026 12:15:00 AM,CVIS,3005.6587,
6/4/2026 12:10:00 AM,DIPC,6/4/2026 12:15:00 AM,SYSTEM,3036.9493,
6/4/2026 12:15:00 AM,DIPC,6/4/2026 12:20:00 AM,CLUZ,3225.1723,
6/4/2026 12:15:00 AM,DIPC,6/4/2026 12:20:00 AM,CMIN,3317.1204,
6/4/2026 12:15:00 AM,DIPC,6/4/2026 12:20:00 AM,CVIS,3197.1313,
6/4/2026 12:15:00 AM,DIPC,6/4/2026 12:20:00 AM,SYSTEM,3234.2624,
6/4/2026 12:20:00 AM,DIPC,6/4/2026 12:25:00 AM,CLUZ,3028.3294,
6/4/2026 12:20:00 AM,DIPC,6/4/2026 12:25:00 AM,CMIN,3089.2619,
6/4/2026 12:20:00 AM,DIPC,6/4/2026 12:25:00 AM,CVIS,3003.9903,
6/4/2026 12:20:00 AM,DIPC,6/4/2026 12:25:00 AM,SYSTEM,3033.3635,
6/4/2026 12:25:00 AM,DIPC,6/4/2026 12:30:00 AM,CLUZ,3765.3926,
6/4/2026 12:25:00 AM,DIPC,6/4/2026 12:30:00 AM,CMIN,3830.8666,
6/4/2026 12:25:00 AM,DIPC,6/4/2026 12:30:00 AM,CVIS,3745.3996,
6/4/2026 12:25:00 AM,DIPC,6/4/2026 12:30:00 AM,SYSTEM,3771.5904,
6/4/2026 12:30:00 AM,DIPC,6/4/2026 12:35:00 AM,CLUZ,3069.9748,
6/4/2026 12:30:00 AM,DIPC,6/4/2026 12:35:00 AM,CMIN,3138.8544,
6/4/2026 12:30:00 AM,DIPC,6/4/2026 12:35:00 AM,CVIS,3056.5214,
6/4/2026 12:30:00 AM,DIPC,6/4/2026 12:35:00 AM,SYSTEM,3077.5292,
6/4/2026 12:35:00 AM,DIPC,6/4/2026 12:40:00 AM,CLUZ,3036.8619,
6/4/2026 12:35:00 AM,DIPC,6/4/2026 12:40:00 AM,CMIN,3099.3845,
6/4/2026 12:35:00 AM,DIPC,6/4/2026 12:40:00 AM,CVIS,3022.7669,
6/4/2026 12:35:00 AM,DIPC,6/4/2026 12:40:00 AM,SYSTEM,3043.4397,
6/4/2026 12:40:00 AM,DIPC,6/4/2026 12:45:00 AM,CLUZ,2917.0034,
6/4/2026 12:40:00 AM,DIPC,6/4/2026 12:45:00 AM,CMIN,2971.1202,
6/4/2026 12:40:00 AM,DIPC,6/4/2026 12:45:00 AM,CVIS,2905.9502,
6/4/2026 12:40:00 AM,DIPC,6/4/2026 12:45:00 AM,SYSTEM,2922.8415,
6/4/2026 12:45:00 AM,DIPC,6/4/2026 12:50:00 AM,CLUZ,3032.5559,
6/4/2026 12:45:00 AM,DIPC,6/4/2026 12:50:00 AM,CMIN,3085.9885,
6/4/2026 12:45:00 AM,DIPC,6/4/2026 12:50:00 AM,CVIS,3022.41,
6/4/2026 12:45:00 AM,DIPC,6/4/2026 12:50:00 AM,SYSTEM,3038.4162,
6/4/2026 12:50:00 AM,DIPC,6/4/2026 12:55:00 AM,CLUZ,3030.9853,
6/4/2026 12:50:00 AM,DIPC,6/4/2026 12:55:00 AM,CMIN,3080.1690,
6/4/2026 12:50:00 AM,DIPC,6/4/2026 12:55:00 AM,CVIS,3021.7829,
6/4/2026 12:50:00 AM,DIPC,6/4/2026 12:55:00 AM,SYSTEM,3036.3833,
6/4/2026 12:55:00 AM,DIPC,6/4/2026 1:00:00 AM,CLUZ,3038.3572,
6/4/2026 12:55:00 AM,DIPC,6/4/2026 1:00:00 AM,CMIN,3106.2535,
6/4/2026 12:55:00 AM,DIPC,6/4/2026 1:00:00 AM,CVIS,3026.6629,
6/4/2026 12:55:00 AM,DIPC,6/4/2026 1:00:00 AM,SYSTEM,3046.1172,
6/4/2026 1:00:00 AM,DIPC,6/4/2026 1:05:00 AM,CLUZ,3470.7822,
6/4/2026 1:00:00 AM,DIPC,6/4/2026 1:05:00 AM,CMIN,3550.8391,
6/4/2026 1:00:00 AM,DIPC,6/4/2026 1:05:00 AM,CVIS,3466.4216,
6/4/2026 1:00:00 AM,DIPC,6/4/2026 1:05:00 AM,SYSTEM,3481.1026,
6/4/2026 1:05:00 AM,DIPC,6/4/2026 1:10:00 AM,CLUZ,3151.9025,
6/4/2026 1:05:00 AM,DIPC,6/4/2026 1:10:00 AM,CMIN,3224.3687,
6/4/2026 1:05:00 AM,DIPC,6/4/2026 1:10:00 AM,CVIS,3147.6541,
6/4/2026 1:05:00 AM,DIPC,6/4/2026 1:10:00 AM,SYSTEM,3161.2231,
6/4/2026 1:10:00 AM,DIPC,6/4/2026 1:15:00 AM,CLUZ,3152.0531,
6/4/2026 1:10:00 AM,DIPC,6/4/2026 1:15:00 AM,CMIN,3222.3327,
6/4/2026 1:10:00 AM,DIPC,6/4/2026 1:15:00 AM,CVIS,3146.8562,
6/4/2026 1:10:00 AM,DIPC,6/4/2026 1:15:00 AM,SYSTEM,3160.9145,
6/4/2026 1:15:00 AM,DIPC,6/4/2026 1:20:00 AM,CLUZ,3033.5306,
6/4/2026 1:15:00 AM,DIPC,6/4/2026 1:20:00 AM,CMIN,3099.9753,
6/4/2026 1:15:00 AM,DIPC,6/4/2026 1:20:00 AM,CVIS,3029.1885,
6/4/2026 1:15:00 AM,DIPC,6/4/2026 1:20:00 AM,SYSTEM,3041.9705,
6/4/2026 1:20:00 AM,DIPC,6/4/2026 1:25:00 AM,CLUZ,2916.8651,
6/4/2026 1:20:00 AM,DIPC,6/4/2026 1:25:00 AM,CMIN,2973.6263,
6/4/2026 1:20:00 AM,DIPC,6/4/2026 1:25:00 AM,CVIS,2913.7953,
6/4/2026 1:20:00 AM,DIPC,6/4/2026 1:25:00 AM,SYSTEM,2924.1494,
6/4/2026 1:25:00 AM,DIPC,6/4/2026 1:30:00 AM,CLUZ,2917.6956,
6/4/2026 1:25:00 AM,DIPC,6/4/2026 1:30:00 AM,CMIN,2966.8522,
6/4/2026 1:25:00 AM,DIPC,6/4/2026 1:30:00 AM,CVIS,2914.6516,
6/4/2026 1:25:00 AM,DIPC,6/4/2026 1:30:00 AM,SYSTEM,2923.94,
6/4/2026 1:30:00 AM,DIPC,6/4/2026 1:35:00 AM,CLUZ,2939.4490,
6/4/2026 1:30:00 AM,DIPC,6/4/2026 1:35:00 AM,CMIN,2994.9460,
6/4/2026 1:30:00 AM,DIPC,6/4/2026 1:35:00 AM,CVIS,2936.0713,
6/4/2026 1:30:00 AM,DIPC,6/4/2026 1:35:00 AM,SYSTEM,2946.5289,
6/4/2026 1:35:00 AM,DIPC,6/4/2026 1:40:00 AM,CLUZ,2919.1187,
6/4/2026 1:35:00 AM,DIPC,6/4/2026 1:40:00 AM,CMIN,2965.0837,
6/4/2026 1:35:00 AM,DIPC,6/4/2026 1:40:00 AM,CVIS,2916.2034,
6/4/2026 1:35:00 AM,DIPC,6/4/2026 1:40:00 AM,SYSTEM,2924.9479,
6/4/2026 1:40:00 AM,DIPC,6/4/2026 1:45:00 AM,CLUZ,2917.6045,
6/4/2026 1:40:00 AM,DIPC,6/4/2026 1:45:00 AM,CMIN,2969.5794,
6/4/2026 1:40:00 AM,DIPC,6/4/2026 1:45:00 AM,CVIS,2913.4562,
6/4/2026 1:40:00 AM,DIPC,6/4/2026 1:45:00 AM,SYSTEM,2924.1409,
6/4/2026 1:45:00 AM,DIPC,6/4/2026 1:50:00 AM,CLUZ,2934.3866,
6/4/2026 1:45:00 AM,DIPC,6/4/2026 1:50:00 AM,CMIN,2986.3735,
6/4/2026 1:45:00 AM,DIPC,6/4/2026 1:50:00 AM,CVIS,2929.6602,
6/4/2026 1:45:00 AM,DIPC,6/4/2026 1:50:00 AM,SYSTEM,2940.8477,
6/4/2026 1:50:00 AM,DIPC,6/4/2026 1:55:00 AM,CLUZ,2934.2283,
6/4/2026 1:50:00 AM,DIPC,6/4/2026 1:55:00 AM,CMIN,2985.9983,
6/4/2026 1:50:00 AM,DIPC,6/4/2026 1:55:00 AM,CVIS,2927.8256,
6/4/2026 1:50:00 AM,DIPC,6/4/2026 1:55:00 AM,SYSTEM,2940.4461,
6/4/2026 1:55:00 AM,DIPC,6/4/2026 2:00:00 AM,CLUZ,3032.7132,
6/4/2026 1:55:00 AM,DIPC,6/4/2026 2:00:00 AM,CMIN,3082.8615,
6/4/2026 1:55:00 AM,DIPC,6/4/2026 2:00:00 AM,CVIS,3026.9259,
6/4/2026 1:55:00 AM,DIPC,6/4/2026 2:00:00 AM,SYSTEM,3038.7481,
6/4/2026 2:00:00 AM,DIPC,6/4/2026 2:05:00 AM,CLUZ,3031.9711,
6/4/2026 2:00:00 AM,DIPC,6/4/2026 2:05:00 AM,CMIN,3085.0527,
6/4/2026 2:00:00 AM,DIPC,6/4/2026 2:05:00 AM,CVIS,3024.1368,
6/4/2026 2:00:00 AM,DIPC,6/4/2026 2:05:00 AM,SYSTEM,3038.1522,
6/4/2026 2:05:00 AM,DIPC,6/4/2026 2:10:00 AM,CLUZ,2971.7263,
6/4/2026 2:05:00 AM,DIPC,6/4/2026 2:10:00 AM,CMIN,3015.7758,
6/4/2026 2:05:00 AM,DIPC,6/4/2026 2:10:00 AM,CVIS,2964.5911,
6/4/2026 2:05:00 AM,DIPC,6/4/2026 2:10:00 AM,SYSTEM,2976.7390,
6/4/2026 2:10:00 AM,DIPC,6/4/2026 2:15:00 AM,CLUZ,2923.5694,
6/4/2026 2:10:00 AM,DIPC,6/4/2026 2:15:00 AM,CMIN,2956.9799,
6/4/2026 2:10:00 AM,DIPC,6/4/2026 2:15:00 AM,CVIS,2916.6128,
6/4/2026 2:10:00 AM,DIPC,6/4/2026 2:15:00 AM,SYSTEM,2927.1510,
6/4/2026 2:15:00 AM,DIPC,6/4/2026 2:20:00 AM,CLUZ,2929.7114,
6/4/2026 2:15:00 AM,DIPC,6/4/2026 2:20:00 AM,CMIN,2966.6404,
6/4/2026 2:15:00 AM,DIPC,6/4/2026 2:20:00 AM,CVIS,2922.2768,
6/4/2026 2:15:00 AM,DIPC,6/4/2026 2:20:00 AM,SYSTEM,2933.7180,
6/4/2026 2:20:00 AM,DIPC,6/4/2026 2:25:00 AM,CLUZ,2968.9319,
6/4/2026 2:20:00 AM,DIPC,6/4/2026 2:25:00 AM,CMIN,3002.2011,
6/4/2026 2:20:00 AM,DIPC,6/4/2026 2:25:00 AM,CVIS,2961.3071,
6/4/2026 2:20:00 AM,DIPC,6/4/2026 2:25:00 AM,SYSTEM,2972.4213,
6/4/2026 2:25:00 AM,DIPC,6/4/2026 2:30:00 AM,CLUZ,2921.6416,
6/4/2026 2:25:00 AM,DIPC,6/4/2026 2:30:00 AM,CMIN,2950.9885,
6/4/2026 2:25:00 AM,DIPC,6/4/2026 2:30:00 AM,CVIS,2914.4002,
6/4/2026 2:25:00 AM,DIPC,6/4/2026 2:30:00 AM,SYSTEM,2924.6459,
6/4/2026 2:30:00 AM,DIPC,6/4/2026 2:35:00 AM,CLUZ,2913.5623,
6/4/2026 2:30:00 AM,DIPC,6/4/2026 2:35:00 AM,CMIN,2935.6523,
6/4/2026 2:30:00 AM,DIPC,6/4/2026 2:35:00 AM,CVIS,2906.9777,
6/4/2026 2:30:00 AM,DIPC,6/4/2026 2:35:00 AM,SYSTEM,2915.6625,
6/4/2026 2:35:00 AM,DIPC,6/4/2026 2:40:00 AM,CLUZ,2915.9843,
6/4/2026 2:35:00 AM,DIPC,6/4/2026 2:40:00 AM,CMIN,2937.7228,
6/4/2026 2:35:00 AM,DIPC,6/4/2026 2:40:00 AM,CVIS,2909.3838,
6/4/2026 2:35:00 AM,DIPC,6/4/2026 2:40:00 AM,SYSTEM,2918.0424,
6/4/2026 2:40:00 AM,DIPC,6/4/2026 2:45:00 AM,CLUZ,2915.5876,
6/4/2026 2:40:00 AM,DIPC,6/4/2026 2:45:00 AM,CMIN,2934.8936,
6/4/2026 2:40:00 AM,DIPC,6/4/2026 2:45:00 AM,CVIS,2909.5814,
6/4/2026 2:40:00 AM,DIPC,6/4/2026 2:45:00 AM,SYSTEM,2917.3937,
6/4/2026 2:45:00 AM,DIPC,6/4/2026 2:50:00 AM,CLUZ,2913.9008,
6/4/2026 2:45:00 AM,DIPC,6/4/2026 2:50:00 AM,CMIN,2940.4310,
6/4/2026 2:45:00 AM,DIPC,6/4/2026 2:50:00 AM,CVIS,2906.7564,
6/4/2026 2:45:00 AM,DIPC,6/4/2026 2:50:00 AM,SYSTEM,2916.5745,
6/4/2026 2:50:00 AM,DIPC,6/4/2026 2:55:00 AM,CLUZ,3016.9026,
6/4/2026 2:50:00 AM,DIPC,6/4/2026 2:55:00 AM,CMIN,3039.6883,
6/4/2026 2:50:00 AM,DIPC,6/4/2026 2:55:00 AM,CVIS,3010.4421,
6/4/2026 2:50:00 AM,DIPC,6/4/2026 2:55:00 AM,SYSTEM,3019.1340,
6/4/2026 2:55:00 AM,DIPC,6/4/2026 3:00:00 AM,CLUZ,2911.8823,
6/4/2026 2:55:00 AM,DIPC,6/4/2026 3:00:00 AM,CMIN,2928.9048,
6/4/2026 2:55:00 AM,DIPC,6/4/2026 3:00:00 AM,CVIS,2906.4508,
6/4/2026 2:55:00 AM,DIPC,6/4/2026 3:00:00 AM,SYSTEM,2913.4641,
6/4/2026 3:00:00 AM,DIPC,6/4/2026 3:05:00 AM,CLUZ,2911.9056,
6/4/2026 3:00:00 AM,DIPC,6/4/2026 3:05:00 AM,CMIN,2928.5848,
6/4/2026 3:00:00 AM,DIPC,6/4/2026 3:05:00 AM,CVIS,2906.4532,
6/4/2026 3:00:00 AM,DIPC,6/4/2026 3:05:00 AM,SYSTEM,2913.4456,
6/4/2026 3:05:00 AM,DIPC,6/4/2026 3:10:00 AM,CLUZ,2905.0363,
6/4/2026 3:05:00 AM,DIPC,6/4/2026 3:10:00 AM,CMIN,2924.8706,
6/4/2026 3:05:00 AM,DIPC,6/4/2026 3:10:00 AM,CVIS,2899.1878,
6/4/2026 3:05:00 AM,DIPC,6/4/2026 3:10:00 AM,SYSTEM,2906.9659,
6/4/2026 3:10:00 AM,DIPC,6/4/2026 3:15:00 AM,CLUZ,2906.0150,
6/4/2026 3:10:00 AM,DIPC,6/4/2026 3:15:00 AM,CMIN,2926.9105,
6/4/2026 3:10:00 AM,DIPC,6/4/2026 3:15:00 AM,CVIS,2899.6344,
6/4/2026 3:10:00 AM,DIPC,6/4/2026 3:15:00 AM,SYSTEM,2908.0285,
6/4/2026 3:15:00 AM,DIPC,6/4/2026 3:20:00 AM,CLUZ,2909.6265,
6/4/2026 3:15:00 AM,DIPC,6/4/2026 3:20:00 AM,CMIN,2933.4459,
6/4/2026 3:15:00 AM,DIPC,6/4/2026 3:20:00 AM,CVIS,2902.9206,
6/4/2026 3:15:00 AM,DIPC,6/4/2026 3:20:00 AM,SYSTEM,2912.0156,
6/4/2026 3:20:00 AM,DIPC,6/4/2026 3:25:00 AM,CLUZ,2907.6773,
6/4/2026 3:20:00 AM,DIPC,6/4/2026 3:25:00 AM,CMIN,2928.9238,
6/4/2026 3:20:00 AM,DIPC,6/4/2026 3:25:00 AM,CVIS,2900.0886,
6/4/2026 3:20:00 AM,DIPC,6/4/2026 3:25:00 AM,SYSTEM,2909.5994,
6/4/2026 3:25:00 AM,DIPC,6/4/2026 3:30:00 AM,CLUZ,3216.2063,
6/4/2026 3:25:00 AM,DIPC,6/4/2026 3:30:00 AM,CMIN,3236.3754,
6/4/2026 3:25:00 AM,DIPC,6/4/2026 3:30:00 AM,CVIS,3209.8536,
6/4/2026 3:25:00 AM,DIPC,6/4/2026 3:30:00 AM,SYSTEM,3218.1281,
6/4/2026 3:30:00 AM,DIPC,6/4/2026 3:35:00 AM,CLUZ,2909.7783,
6/4/2026 3:30:00 AM,DIPC,6/4/2026 3:35:00 AM,CMIN,2924.6277,
6/4/2026 3:30:00 AM,DIPC,6/4/2026 3:35:00 AM,CVIS,2903.7569,
6/4/2026 3:30:00 AM,DIPC,6/4/2026 3:35:00 AM,SYSTEM,2911.0091,
6/4/2026 3:35:00 AM,DIPC,6/4/2026 3:40:00 AM,CLUZ,2905.9156,
6/4/2026 3:35:00 AM,DIPC,6/4/2026 3:40:00 AM,CMIN,3120.4665,
6/4/2026 3:35:00 AM,DIPC,6/4/2026 3:40:00 AM,CVIS,3103.9820,
6/4/2026 3:35:00 AM,DIPC,6/4/2026 3:40:00 AM,SYSTEM,2961.2745,
6/4/2026 3:40:00 AM,DIPC,6/4/2026 3:45:00 AM,CLUZ,2907.7438,
6/4/2026 3:40:00 AM,DIPC,6/4/2026 3:45:00 AM,CMIN,2913.9661,
6/4/2026 3:40:00 AM,DIPC,6/4/2026 3:45:00 AM,CVIS,2901.1172,
6/4/2026 3:40:00 AM,DIPC,6/4/2026 3:45:00 AM,SYSTEM,2907.7051,
6/4/2026 3:45:00 AM,DIPC,6/4/2026 3:50:00 AM,CLUZ,2905.6983,
6/4/2026 3:45:00 AM,DIPC,6/4/2026 3:50:00 AM,CMIN,2908.5105,
6/4/2026 3:45:00 AM,DIPC,6/4/2026 3:50:00 AM,CVIS,2900.6275,
6/4/2026 3:45:00 AM,DIPC,6/4/2026 3:50:00 AM,SYSTEM,2905.4023,
6/4/2026 3:50:00 AM,DIPC,6/4/2026 3:55:00 AM,CLUZ,2904.3813,
6/4/2026 3:50:00 AM,DIPC,6/4/2026 3:55:00 AM,CMIN,2909.1118,
6/4/2026 3:50:00 AM,DIPC,6/4/2026 3:55:00 AM,CVIS,2899.4504,
6/4/2026 3:50:00 AM,DIPC,6/4/2026 3:55:00 AM,SYSTEM,2904.3657,
6/4/2026 3:55:00 AM,DIPC,6/4/2026 4:00:00 AM,CLUZ,2892.9916,
6/4/2026 3:55:00 AM,DIPC,6/4/2026 4:00:00 AM,CMIN,2899.9303,
6/4/2026 3:55:00 AM,DIPC,6/4/2026 4:00:00 AM,CVIS,2887.5728,
6/4/2026 3:55:00 AM,DIPC,6/4/2026 4:00:00 AM,SYSTEM,2893.2137,
6/4/2026 4:00:00 AM,DIPC,6/4/2026 4:05:00 AM,CLUZ,2903.2411,
6/4/2026 4:00:00 AM,DIPC,6/4/2026 4:05:00 AM,CMIN,2904.0428,
6/4/2026 4:00:00 AM,DIPC,6/4/2026 4:05:00 AM,CVIS,2898.7542,
6/4/2026 4:00:00 AM,DIPC,6/4/2026 4:05:00 AM,SYSTEM,2902.7507,
6/4/2026 4:05:00 AM,DIPC,6/4/2026 4:10:00 AM,CLUZ,2915.5102,
6/4/2026 4:05:00 AM,DIPC,6/4/2026 4:10:00 AM,CMIN,2921.5232,
6/4/2026 4:05:00 AM,DIPC,6/4/2026 4:10:00 AM,CVIS,2910.2627,
6/4/2026 4:05:00 AM,DIPC,6/4/2026 4:10:00 AM,SYSTEM,2915.6351,
6/4/2026 4:10:00 AM,DIPC,6/4/2026 4:15:00 AM,CLUZ,2906.5537,
6/4/2026 4:10:00 AM,DIPC,6/4/2026 4:15:00 AM,CMIN,2921.4641,
6/4/2026 4:10:00 AM,DIPC,6/4/2026 4:15:00 AM,CVIS,2900.0318,
6/4/2026 4:10:00 AM,DIPC,6/4/2026 4:15:00 AM,SYSTEM,2907.7376,
6/4/2026 4:15:00 AM,DIPC,6/4/2026 4:20:00 AM,CLUZ,2905.0385,
6/4/2026 4:15:00 AM,DIPC,6/4/2026 4:20:00 AM,CMIN,2918.7476,
6/4/2026 4:15:00 AM,DIPC,6/4/2026 4:20:00 AM,CVIS,2899.5384,
6/4/2026 4:15:00 AM,DIPC,6/4/2026 4:20:00 AM,SYSTEM,2906.1946,
6/4/2026 4:20:00 AM,DIPC,6/4/2026 4:25:00 AM,CLUZ,2904.3293,
6/4/2026 4:20:00 AM,DIPC,6/4/2026 4:25:00 AM,CMIN,2917.9382,
6/4/2026 4:20:00 AM,DIPC,6/4/2026 4:25:00 AM,CVIS,2900.15,
6/4/2026 4:20:00 AM,DIPC,6/4/2026 4:25:00 AM,SYSTEM,2905.6434,
6/4/2026 4:25:00 AM,DIPC,6/4/2026 4:30:00 AM,CLUZ,2903.7715,
6/4/2026 4:25:00 AM,DIPC,6/4/2026 4:30:00 AM,CMIN,2917.8977,
6/4/2026 4:25:00 AM,DIPC,6/4/2026 4:30:00 AM,CVIS,2899.5552,
6/4/2026 4:25:00 AM,DIPC,6/4/2026 4:30:00 AM,SYSTEM,2905.1503,
6/4/2026 4:30:00 AM,DIPC,6/4/2026 4:35:00 AM,CLUZ,2905.1223,
6/4/2026 4:30:00 AM,DIPC,6/4/2026 4:35:00 AM,CMIN,2924.1834,
6/4/2026 4:30:00 AM,DIPC,6/4/2026 4:35:00 AM,CVIS,2901.6695,
6/4/2026 4:30:00 AM,DIPC,6/4/2026 4:35:00 AM,SYSTEM,2907.2878,
6/4/2026 4:35:00 AM,DIPC,6/4/2026 4:40:00 AM,CLUZ,2907.7827,
6/4/2026 4:35:00 AM,DIPC,6/4/2026 4:40:00 AM,CMIN,2922.8250,
6/4/2026 4:35:00 AM,DIPC,6/4/2026 4:40:00 AM,CVIS,2904.1151,
6/4/2026 4:35:00 AM,DIPC,6/4/2026 4:40:00 AM,SYSTEM,2909.3587,
6/4/2026 4:40:00 AM,DIPC,6/4/2026 4:45:00 AM,CLUZ,2907.1053,
6/4/2026 4:40:00 AM,DIPC,6/4/2026 4:45:00 AM,CMIN,2922.6068,
6/4/2026 4:40:00 AM,DIPC,6/4/2026 4:45:00 AM,CVIS,2903.3678,
6/4/2026 4:40:00 AM,DIPC,6/4/2026 4:45:00 AM,SYSTEM,2908.7411,
