RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,LWAP,
5/31/2026,DIPC,5/31/2026 12:05:00 AM,CLUZ,7042.4513,
5/31/2026,DIPC,5/31/2026 12:05:00 AM,CMIN,3876.6820,
5/31/2026,DIPC,5/31/2026 12:05:00 AM,CVIS,6951.7260,
5/31/2026,DIPC,5/31/2026 12:05:00 AM,SYSTEM,6617.4207,
5/31/2026 12:05:00 AM,DIPC,5/31/2026 12:10:00 AM,CLUZ,7359.3424,
5/31/2026 12:05:00 AM,DIPC,5/31/2026 12:10:00 AM,CMIN,3880.2779,
5/31/2026 12:05:00 AM,DIPC,5/31/2026 12:10:00 AM,CVIS,7252.3840,
5/31/2026 12:05:00 AM,DIPC,5/31/2026 12:10:00 AM,SYSTEM,6891.5645,
5/31/2026 12:10:00 AM,DIPC,5/31/2026 12:15:00 AM,CLUZ,7253.4385,
5/31/2026 12:10:00 AM,DIPC,5/31/2026 12:15:00 AM,CMIN,3877.8591,
5/31/2026 12:10:00 AM,DIPC,5/31/2026 12:15:00 AM,CVIS,7153.6975,
5/31/2026 12:10:00 AM,DIPC,5/31/2026 12:15:00 AM,SYSTEM,6801.6265,
5/31/2026 12:15:00 AM,DIPC,5/31/2026 12:20:00 AM,CLUZ,7059.4966,
5/31/2026 12:15:00 AM,DIPC,5/31/2026 12:20:00 AM,CMIN,3870.5095,
5/31/2026 12:15:00 AM,DIPC,5/31/2026 12:20:00 AM,CVIS,6968.0847,
5/31/2026 12:15:00 AM,DIPC,5/31/2026 12:20:00 AM,SYSTEM,6632.0490,
5/31/2026 12:20:00 AM,DIPC,5/31/2026 12:25:00 AM,CLUZ,7044.1980,
5/31/2026 12:20:00 AM,DIPC,5/31/2026 12:25:00 AM,CMIN,3795.3475,
5/31/2026 12:20:00 AM,DIPC,5/31/2026 12:25:00 AM,CVIS,6960.5652,
5/31/2026 12:20:00 AM,DIPC,5/31/2026 12:25:00 AM,SYSTEM,6610.9199,
5/31/2026 12:25:00 AM,DIPC,5/31/2026 12:30:00 AM,CLUZ,7034.7096,
5/31/2026 12:25:00 AM,DIPC,5/31/2026 12:30:00 AM,CMIN,3861.0447,
5/31/2026 12:25:00 AM,DIPC,5/31/2026 12:30:00 AM,CVIS,6959.6850,
5/31/2026 12:25:00 AM,DIPC,5/31/2026 12:30:00 AM,SYSTEM,6611.9343,
5/31/2026 12:30:00 AM,DIPC,5/31/2026 12:35:00 AM,CLUZ,7031.8430,
5/31/2026 12:30:00 AM,DIPC,5/31/2026 12:35:00 AM,CMIN,3848.3181,
5/31/2026 12:30:00 AM,DIPC,5/31/2026 12:35:00 AM,CVIS,6955.5573,
5/31/2026 12:30:00 AM,DIPC,5/31/2026 12:35:00 AM,SYSTEM,6609.1298,
5/31/2026 12:35:00 AM,DIPC,5/31/2026 12:40:00 AM,CLUZ,7019.2324,
5/31/2026 12:35:00 AM,DIPC,5/31/2026 12:40:00 AM,CMIN,3846.3552,
5/31/2026 12:35:00 AM,DIPC,5/31/2026 12:40:00 AM,CVIS,6947.3112,
5/31/2026 12:35:00 AM,DIPC,5/31/2026 12:40:00 AM,SYSTEM,6597.7017,
5/31/2026 12:40:00 AM,DIPC,5/31/2026 12:45:00 AM,CLUZ,4407.4995,
5/31/2026 12:40:00 AM,DIPC,5/31/2026 12:45:00 AM,CMIN,3846.8708,
5/31/2026 12:40:00 AM,DIPC,5/31/2026 12:45:00 AM,CVIS,4366.5580,
5/31/2026 12:40:00 AM,DIPC,5/31/2026 12:45:00 AM,SYSTEM,4328.9886,
5/31/2026 12:45:00 AM,DIPC,5/31/2026 12:50:00 AM,CLUZ,4895.4744,
5/31/2026 12:45:00 AM,DIPC,5/31/2026 12:50:00 AM,CMIN,3843.9621,
5/31/2026 12:45:00 AM,DIPC,5/31/2026 12:50:00 AM,CVIS,4847.5579,
5/31/2026 12:45:00 AM,DIPC,5/31/2026 12:50:00 AM,SYSTEM,4752.4544,
5/31/2026 12:50:00 AM,DIPC,5/31/2026 12:55:00 AM,CLUZ,4685.7501,
5/31/2026 12:50:00 AM,DIPC,5/31/2026 12:55:00 AM,CMIN,3843.1081,
5/31/2026 12:50:00 AM,DIPC,5/31/2026 12:55:00 AM,CVIS,4639.9413,
5/31/2026 12:50:00 AM,DIPC,5/31/2026 12:55:00 AM,SYSTEM,4569.7511,
5/31/2026 12:55:00 AM,DIPC,5/31/2026 1:00:00 AM,CLUZ,4468.9791,
5/31/2026 12:55:00 AM,DIPC,5/31/2026 1:00:00 AM,CMIN,3834.1652,
5/31/2026 12:55:00 AM,DIPC,5/31/2026 1:00:00 AM,CVIS,4425.1959,
