RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,LWAP,
5/20/2026,DIPC,5/20/2026 12:05:00 AM,CLUZ,3447.9461,
5/20/2026,DIPC,5/20/2026 12:05:00 AM,CMIN,4450.0569,
5/20/2026,DIPC,5/20/2026 12:05:00 AM,CVIS,4407.2183,
5/20/2026,DIPC,5/20/2026 12:05:00 AM,SYSTEM,3720.8558,
5/20/2026 12:05:00 AM,DIPC,5/20/2026 12:10:00 AM,CLUZ,3450.2377,
5/20/2026 12:05:00 AM,DIPC,5/20/2026 12:10:00 AM,CMIN,3928.2531,
5/20/2026 12:05:00 AM,DIPC,5/20/2026 12:10:00 AM,CVIS,3899.8985,
5/20/2026 12:05:00 AM,DIPC,5/20/2026 12:10:00 AM,SYSTEM,3579.2802,
5/20/2026 12:10:00 AM,DIPC,5/20/2026 12:15:00 AM,CLUZ,3449.3517,
5/20/2026 12:10:00 AM,DIPC,5/20/2026 12:15:00 AM,CMIN,3886.3784,
5/20/2026 12:10:00 AM,DIPC,5/20/2026 12:15:00 AM,CVIS,3846.4089,
5/20/2026 12:10:00 AM,DIPC,5/20/2026 12:15:00 AM,SYSTEM,3565.3952,
5/20/2026 12:15:00 AM,DIPC,5/20/2026 12:20:00 AM,CLUZ,3366.4797,
5/20/2026 12:15:00 AM,DIPC,5/20/2026 12:20:00 AM,CMIN,3876.1110,
5/20/2026 12:15:00 AM,DIPC,5/20/2026 12:20:00 AM,CVIS,3843.8441,
5/20/2026 12:15:00 AM,DIPC,5/20/2026 12:20:00 AM,SYSTEM,3504.1581,
5/20/2026 12:20:00 AM,DIPC,5/20/2026 12:25:00 AM,CLUZ,3365.7103,
5/20/2026 12:20:00 AM,DIPC,5/20/2026 12:25:00 AM,CMIN,3881.7716,
5/20/2026 12:20:00 AM,DIPC,5/20/2026 12:25:00 AM,CVIS,3842.2638,
5/20/2026 12:20:00 AM,DIPC,5/20/2026 12:25:00 AM,SYSTEM,3503.8234,
5/20/2026 12:25:00 AM,DIPC,5/20/2026 12:30:00 AM,CLUZ,3364.7464,
5/20/2026 12:25:00 AM,DIPC,5/20/2026 12:30:00 AM,CMIN,3657.3890,
5/20/2026 12:25:00 AM,DIPC,5/20/2026 12:30:00 AM,CVIS,3625.4929,
5/20/2026 12:25:00 AM,DIPC,5/20/2026 12:30:00 AM,SYSTEM,3441.5457,
5/20/2026 12:30:00 AM,DIPC,5/20/2026 12:35:00 AM,CLUZ,3446.3945,
5/20/2026 12:30:00 AM,DIPC,5/20/2026 12:35:00 AM,CMIN,3657.1908,
5/20/2026 12:30:00 AM,DIPC,5/20/2026 12:35:00 AM,CVIS,3626.1171,
5/20/2026 12:30:00 AM,DIPC,5/20/2026 12:35:00 AM,SYSTEM,3500.4034,
5/20/2026 12:35:00 AM,DIPC,5/20/2026 12:40:00 AM,CLUZ,3130.6032,
5/20/2026 12:35:00 AM,DIPC,5/20/2026 12:40:00 AM,CMIN,3864.54,
5/20/2026 12:35:00 AM,DIPC,5/20/2026 12:40:00 AM,CVIS,3835.1688,
5/20/2026 12:35:00 AM,DIPC,5/20/2026 12:40:00 AM,SYSTEM,3330.3451,
5/20/2026 12:40:00 AM,DIPC,5/20/2026 12:45:00 AM,CLUZ,3131.2980,
5/20/2026 12:40:00 AM,DIPC,5/20/2026 12:45:00 AM,CMIN,3651.9541,
5/20/2026 12:40:00 AM,DIPC,5/20/2026 12:45:00 AM,CVIS,3624.5567,
5/20/2026 12:40:00 AM,DIPC,5/20/2026 12:45:00 AM,SYSTEM,3271.7728,
5/20/2026 12:45:00 AM,DIPC,5/20/2026 12:50:00 AM,CLUZ,3218.9366,
5/20/2026 12:45:00 AM,DIPC,5/20/2026 12:50:00 AM,CMIN,3866.3660,
5/20/2026 12:45:00 AM,DIPC,5/20/2026 12:50:00 AM,CVIS,3832.7884,
5/20/2026 12:45:00 AM,DIPC,5/20/2026 12:50:00 AM,SYSTEM,3393.4519,
5/20/2026 12:50:00 AM,DIPC,5/20/2026 12:55:00 AM,CLUZ,3128.4454,
5/20/2026 12:50:00 AM,DIPC,5/20/2026 12:55:00 AM,CMIN,3650.9120,
5/20/2026 12:50:00 AM,DIPC,5/20/2026 12:55:00 AM,CVIS,3624.7576,
5/20/2026 12:50:00 AM,DIPC,5/20/2026 12:55:00 AM,SYSTEM,3269.4057,
5/20/2026 12:55:00 AM,DIPC,5/20/2026 1:00:00 AM,CLUZ,3216.0324,
5/20/2026 12:55:00 AM,DIPC,5/20/2026 1:00:00 AM,CMIN,3610.9901,
5/20/2026 12:55:00 AM,DIPC,5/20/2026 1:00:00 AM,CVIS,3582.5617,
5/20/2026 12:55:00 AM,DIPC,5/20/2026 1:00:00 AM,SYSTEM,3321.3651,
5/20/2026 1:00:00 AM,DIPC,5/20/2026 1:05:00 AM,CLUZ,3574.5220,
5/20/2026 1:00:00 AM,DIPC,5/20/2026 1:05:00 AM,CMIN,3606.5496,
5/20/2026 1:00:00 AM,DIPC,5/20/2026 1:05:00 AM,CVIS,3579.0434,
5/20/2026 1:00:00 AM,DIPC,5/20/2026 1:05:00 AM,SYSTEM,3579.4826,
5/20/2026 1:05:00 AM,DIPC,5/20/2026 1:10:00 AM,CLUZ,2866.8417,
5/20/2026 1:05:00 AM,DIPC,5/20/2026 1:10:00 AM,CMIN,3879.3970,
5/20/2026 1:05:00 AM,DIPC,5/20/2026 1:10:00 AM,CVIS,4417.9595,
5/20/2026 1:05:00 AM,DIPC,5/20/2026 1:10:00 AM,SYSTEM,3224.0898,
5/20/2026 1:10:00 AM,DIPC,5/20/2026 1:15:00 AM,CLUZ,3129.9157,
5/20/2026 1:10:00 AM,DIPC,5/20/2026 1:15:00 AM,CMIN,3643.8013,
5/20/2026 1:10:00 AM,DIPC,5/20/2026 1:15:00 AM,CVIS,3835.6249,
5/20/2026 1:10:00 AM,DIPC,5/20/2026 1:15:00 AM,SYSTEM,3299.7392,
5/20/2026 1:15:00 AM,DIPC,5/20/2026 1:20:00 AM,CLUZ,2942.7060,
5/20/2026 1:15:00 AM,DIPC,5/20/2026 1:20:00 AM,CMIN,3648.5758,
5/20/2026 1:15:00 AM,DIPC,5/20/2026 1:20:00 AM,CVIS,3835.3261,
5/20/2026 1:15:00 AM,DIPC,5/20/2026 1:20:00 AM,SYSTEM,3165.3456,
5/20/2026 1:20:00 AM,DIPC,5/20/2026 1:25:00 AM,CLUZ,2952.7218,
5/20/2026 1:20:00 AM,DIPC,5/20/2026 1:25:00 AM,CMIN,3645.8951,
5/20/2026 1:20:00 AM,DIPC,5/20/2026 1:25:00 AM,CVIS,3834.5403,
5/20/2026 1:20:00 AM,DIPC,5/20/2026 1:25:00 AM,SYSTEM,3171.8319,
