RUN_TIME,MKT_TYPE,TIME_INTERVAL,CONGEST_TYPE,RUN_TYPE,EQUIPMENT_NAME,STATION_NAME,VOLTAGE_LEVEL,BINDING_LIMIT,MW_FLOW,OVERLOAD_MW,PCT_MW,
5/8/2026,DAP,5/8/2026 1:00:00 AM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.9478,592.9478,0,100,
5/8/2026,DAP,5/8/2026 2:00:00 AM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,593.6808,593.6808,0,100,
5/8/2026,DAP,5/8/2026 9:00:00 AM,BASE CASE,SCHED_RUN,5DAAN_4TAB1,05DAANBN,230,191.4198,191.4198,0,100,
5/8/2026,DAP,5/8/2026 9:00:00 AM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,216.8063,238.8550,22.0487,110.17,
5/8/2026,DAP,5/8/2026 10:00:00 AM,BASE CASE,SCHED_RUN,5DAAN_4TAB1,05DAANBN,230,191.0805,191.0805,0,100,
5/8/2026,DAP,5/8/2026 10:00:00 AM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,216.1571,238.1444,21.9873,110.17,
5/8/2026,DAP,5/8/2026 11:00:00 AM,BASE CASE,SCHED_RUN,5DAAN_4TAB1,05DAANBN,230,190.7424,190.7424,0,100,
5/8/2026,DAP,5/8/2026 11:00:00 AM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,215.5514,237.4008,21.8494,110.14,
5/8/2026,DAP,5/8/2026 12:00:00 PM,BASE CASE,SCHED_RUN,5DAAN_4TAB1,05DAANBN,230,190.7947,190.7947,0,100,
5/8/2026,DAP,5/8/2026 12:00:00 PM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,215.6349,237.5329,21.8980,110.16,
5/8/2026,DAP,5/8/2026 1:00:00 PM,BASE CASE,SCHED_RUN,5DAAN_4TAB1,05DAANBN,230,190.7662,190.7662,0,100,
5/8/2026,DAP,5/8/2026 1:00:00 PM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,215.6114,237.3951,21.7837,110.10,
5/8/2026,DAP,5/8/2026 2:00:00 PM,BASE CASE,SCHED_RUN,1OLONG_TR2,01OLONGA,230,48.7457,48.7457,0,100,
5/8/2026,DAP,5/8/2026 2:00:00 PM,BASE CASE,SCHED_RUN,1SJO115_TR1,01EHVSJO,115,80.2646,80.2646,0,100,
5/8/2026,DAP,5/8/2026 2:00:00 PM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,216.2490,237.8963,21.6473,110.01,
5/8/2026,DAP,5/8/2026 2:00:00 PM,BASE CASE,SCHED_RUN,5DAAN_4TAB1,05DAANBN,230,191.1083,191.1083,0,100,
5/8/2026,DAP,5/8/2026 3:00:00 PM,BASE CASE,SCHED_RUN,1SJO115_TR1,01EHVSJO,115,80.2615,80.2615,0,100,
5/8/2026,DAP,5/8/2026 3:00:00 PM,BASE CASE,SCHED_RUN,1OLONG_TR2,01OLONGA,230,48.7440,48.7440,0,100,
5/8/2026,DAP,5/8/2026 3:00:00 PM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,216.1009,236.0989,19.9980,109.25,
5/8/2026,DAP,5/8/2026 4:00:00 PM,BASE CASE,SCHED_RUN,1SJO115_TR1,01EHVSJO,115,80.2709,80.2709,0,100,
5/8/2026,DAP,5/8/2026 4:00:00 PM,BASE CASE,SCHED_RUN,1OLONG_TR2,01OLONGA,230,48.7459,48.7459,0,100,
5/8/2026,DAP,5/8/2026 4:00:00 PM,BASE CASE,SCHED_RUN,5DAAN_4TAB2,05DAANBN,230,217.6440,223.8537,6.2097,102.85,
5/8/2026,DAP,5/8/2026 5:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR1,01EHVNAG,230,593.6058,593.6058,0,100,
5/8/2026,DAP,5/8/2026 9:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,592.4514,592.4514,0,100,
5/8/2026,DAP,5/8/2026 10:00:00 PM,CONTINGENCY,SCHED_RUN,1EHVNGS_TR2,01EHVNAG,230,594.2376,594.2376,0,100,
