RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,COMMODITY_TYPE,MKT_REQT,LOAD_BID,LOAD_CURTAILED,LOSSES,GENERATION,MKT_IMPORT,MKT_EXPORT,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CVIS,Dr,134,0,,0,134,0,0,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CMIN,Dr,100,0,,0,100,0,0,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CLUZ,Dr,455,0,,0,455,0,0,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CMIN,En,1899.96,0,0,54.02,2366.21,0,412.26,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CLUZ,En,10250.70,0,0,214.65,10249.51,215.86,0,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CVIS,En,1890.86,0,0,14.64,1709.10,412.26,215.86,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CMIN,Fr,100,0,,0,100,0,0,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CVIS,Fr,150,0,,0,150,0,0,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CLUZ,Fr,668,0,,0,668,0,0,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CMIN,Rd,38.85,0,,0,38.85,0,0,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CLUZ,Rd,200.50,0,,0,200.50,0,0,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CVIS,Rd,38.30,0,,0,38.30,0,0,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CVIS,Ru,38.30,0,,0,38.30,0,0,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CMIN,Ru,38.85,0,,0,38.85,0,0,
5/4/2026,RTD,5/4/2026 12:05:00 AM,CLUZ,Ru,200.50,0,,0,200.50,0,0,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CVIS,Dr,134,0,,0,134,0,0,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CMIN,Dr,100,0,,0,100,0,0,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CLUZ,Dr,455,0,,0,455,0,0,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CMIN,En,1889.62,0,0,52.63,2391.21,0,448.96,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CLUZ,En,10214.13,0,0,229.69,10210.34,233.48,0,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CVIS,En,1886.20,0,0,14.60,1685.30,448.96,233.48,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CMIN,Fr,100,0,,0,100,0,0,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CVIS,Fr,150,0,,0,150,0,0,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CLUZ,Fr,668,0,,0,668,0,0,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CMIN,Rd,38.85,0,,0,38.85,0,0,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CLUZ,Rd,200.50,0,,0,200.50,0,0,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CVIS,Rd,38.30,0,,0,38.30,0,0,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CVIS,Ru,38.30,0,,0,38.30,0,0,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CMIN,Ru,38.85,0,,0,38.85,0,0,
5/4/2026 12:05:00 AM,RTD,5/4/2026 12:10:00 AM,CLUZ,Ru,200.50,0,,0,200.50,0,0,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CVIS,Dr,134,0,,0,134,0,0,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CMIN,Dr,100,0,,0,100,0,0,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CLUZ,Dr,455,0,,0,455,0,0,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CMIN,En,1886.13,0,0,52.63,2388.82,0,450,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CLUZ,En,10181.83,0,0,228.79,10171.48,239.22,0,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CVIS,En,1876.74,0,0,14.56,1680.50,450,239.22,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CMIN,Fr,100,0,,0,100,0,0,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CVIS,Fr,150,0,,0,150,0,0,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CLUZ,Fr,668,0,,0,668,0,0,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CMIN,Rd,38.85,0,,0,38.85,0,0,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CLUZ,Rd,200.50,0,,0,200.50,0,0,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CVIS,Rd,38.30,0,,0,38.30,0,0,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CVIS,Ru,38.30,0,,0,38.30,0,0,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CMIN,Ru,38.85,0,,0,38.85,0,0,
5/4/2026 12:10:00 AM,RTD,5/4/2026 12:15:00 AM,CLUZ,Ru,200.50,0,,0,200.50,0,0,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CVIS,Dr,134,0,,0,134,0,0,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CMIN,Dr,100,0,,0,100,0,0,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CLUZ,Dr,455,0,,0,455,0,0,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CMIN,En,1897.02,0,0,51.52,2398.50,0,450,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CLUZ,En,10134.65,0,0,226.06,10116.62,244,0,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CVIS,En,1871.74,0,0,14.70,1680.40,450,244,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CMIN,Fr,100,0,,0,100,0,0,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CVIS,Fr,150,0,,0,150,0,0,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CLUZ,Fr,668,0,,0,668,0,0,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CMIN,Rd,38.85,0,,0,38.85,0,0,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CLUZ,Rd,200.50,0,,0,200.50,0,0,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CVIS,Rd,38.30,0,,0,38.30,0,0,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CVIS,Ru,38.30,0,,0,38.30,0,0,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CMIN,Ru,38.85,0,,0,38.85,0,0,
5/4/2026 12:15:00 AM,RTD,5/4/2026 12:20:00 AM,CLUZ,Ru,200.50,0,,0,200.50,0,0,
5/4/2026 12:20:00 AM,RTD,5/4/2026 12:25:00 AM,CVIS,Dr,134,0,,0,134,0,0,
5/4/2026 12:20:00 AM,RTD,5/4/2026 12:25:00 AM,CMIN,Dr,100,0,,0,100,0,0,
5/4/2026 12:20:00 AM,RTD,5/4/2026 12:25:00 AM,CLUZ,Dr,455,0,,0,455,0,0,
5/4/2026 12:20:00 AM,RTD,5/4/2026 12:25:00 AM,CMIN,En,1874.19,0,0,50.80,2374.96,0,450,
