RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,COMMODITY_TYPE,MKT_REQT,LOAD_BID,LOAD_CURTAILED,LOSSES,GENERATION,MKT_IMPORT,MKT_EXPORT,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CVIS,Dr,93,0,,0,93,0,0,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CMIN,Dr,110,0,,0,110,0,0,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CLUZ,Dr,600,0,,0,600,0,0,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CMIN,En,1933.20,0,0,56.16,2439.38,0,450,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CLUZ,En,11765.62,0,0,284.98,12104.80,0,54.20,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CVIS,En,2223.80,0,0,22.26,1741.87,504.20,0,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CMIN,Fr,110,0,,0,110,0,0,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CVIS,Fr,93,0,,0,93,0,0,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CLUZ,Fr,668,0,,0,668,0,0,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CMIN,Rd,41.50,0,,0,41.50,0,0,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CLUZ,Rd,225.50,0,,0,225.50,0,0,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CVIS,Rd,41.25,0,,0,41.25,0,0,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CVIS,Ru,41.25,0,,0,41.25,0,0,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CMIN,Ru,41.50,0,,0,41.50,0,0,
5/16/2026,RTD,5/16/2026 12:05:00 AM,CLUZ,Ru,225.50,0,,0,225.50,0,0,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CVIS,Dr,93,0,,0,93,0,0,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CMIN,Dr,110,0,,0,110,0,0,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CLUZ,Dr,600,0,,0,600,0,0,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CMIN,En,1921.73,0,0,56.72,2428.49,0,450,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CLUZ,En,11827.72,0,0,286.61,12140.53,0,26.20,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CVIS,En,2213.87,0,0,21.66,1759.33,476.20,0,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CMIN,Fr,110,0,,0,110,0,0,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CVIS,Fr,93,0,,0,93,0,0,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CLUZ,Fr,668,0,,0,668,0,0,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CMIN,Rd,41.50,0,,0,41.50,0,0,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CLUZ,Rd,225.50,0,,0,225.50,0,0,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CVIS,Rd,41.25,0,,0,41.25,0,0,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CVIS,Ru,41.25,0,,0,41.25,0,0,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CMIN,Ru,41.50,0,,0,41.50,0,0,
5/16/2026 12:05:00 AM,RTD,5/16/2026 12:10:00 AM,CLUZ,Ru,225.50,0,,0,225.50,0,0,
5/16/2026 12:10:00 AM,RTD,5/16/2026 12:15:00 AM,CVIS,Dr,93,0,,0,93,0,0,
5/16/2026 12:10:00 AM,RTD,5/16/2026 12:15:00 AM,CMIN,Dr,110,0,,0,110,0,0,
5/16/2026 12:10:00 AM,RTD,5/16/2026 12:15:00 AM,CLUZ,Dr,600,0,,0,600,0,0,
5/16/2026 12:10:00 AM,RTD,5/16/2026 12:15:00 AM,CMIN,En,1909.85,0,0,56.67,2416.54,0,450,
