RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,COMMODITY_TYPE,MKT_REQT,LOAD_BID,LOAD_CURTAILED,LOSSES,GENERATION,MKT_IMPORT,MKT_EXPORT,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CVIS,Dr,93,0,,0,93,0,0,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CMIN,Dr,105,0,,0,105,0,0,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CLUZ,Dr,605,0,,0,605,0,0,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CMIN,En,1993.12,0,0,57.43,2473.76,0,423.22,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CLUZ,En,9044.45,0,0,170.07,9425.15,0,210.60,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CVIS,En,1988.92,0,0,29.99,1385.05,633.81,0,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CMIN,Fr,105,0,,0,105,0,0,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CVIS,Fr,123,0,,0,123,0,0,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CLUZ,Fr,608,0,,0,608,0,0,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CMIN,Rd,39.51,0,,0,39.51,0,0,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CLUZ,Rd,185,0,,0,185,0,0,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CVIS,Rd,42.90,0,,0,42.90,0,0,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CVIS,Ru,42.90,0,,0,42.90,0,0,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CMIN,Ru,39.51,0,,0,39.51,0,0,
6/6/2026,RTD,6/6/2026 12:05:00 AM,CLUZ,Ru,185,0,,0,185,0,0,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CVIS,Dr,93,0,,0,93,0,0,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CMIN,Dr,105,0,,0,105,0,0,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CLUZ,Dr,605,0,,0,605,0,0,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CMIN,En,1980.19,0,0,55.22,2455.39,0,419.99,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CLUZ,En,9067.34,0,0,171.32,9454.34,0,215.75,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CVIS,En,1983.62,0,0,30.27,1378.14,635.74,0,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CMIN,Fr,105,0,,0,105,0,0,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CVIS,Fr,123,0,,0,123,0,0,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CLUZ,Fr,608,0,,0,608,0,0,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CMIN,Rd,39.51,0,,0,39.51,0,0,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CLUZ,Rd,185,0,,0,185,0,0,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CVIS,Rd,42.90,0,,0,42.90,0,0,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CVIS,Ru,42.90,0,,0,42.90,0,0,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CMIN,Ru,39.51,0,,0,39.51,0,0,
6/6/2026 12:05:00 AM,RTD,6/6/2026 12:10:00 AM,CLUZ,Ru,185,0,,0,185,0,0,
6/6/2026 12:10:00 AM,RTD,6/6/2026 12:15:00 AM,CVIS,Dr,93,0,,0,93,0,0,
6/6/2026 12:10:00 AM,RTD,6/6/2026 12:15:00 AM,CMIN,Dr,105,0,,0,105,0,0,
6/6/2026 12:10:00 AM,RTD,6/6/2026 12:15:00 AM,CLUZ,Dr,605,0,,0,605,0,0,
6/6/2026 12:10:00 AM,RTD,6/6/2026 12:15:00 AM,CMIN,En,1974.95,0,0,56.37,2428.43,0,397.10,
6/6/2026 12:10:00 AM,RTD,6/6/2026 12:15:00 AM,CLUZ,En,9032.27,0,0,172.05,9451.26,0,246.91,
6/6/2026 12:10:00 AM,RTD,6/6/2026 12:15:00 AM,CVIS,En,1979.67,0,0,32.41,1368.04,644.01,0,
6/6/2026 12:10:00 AM,RTD,6/6/2026 12:15:00 AM,CMIN,Fr,105,0,,0,105,0,0,
6/6/2026 12:10:00 AM,RTD,6/6/2026 12:15:00 AM,CVIS,Fr,123,0,,0,123,0,0,
6/6/2026 12:10:00 AM,RTD,6/6/2026 12:15:00 AM,CLUZ,Fr,608,0,,0,608,0,0,
6/6/2026 12:10:00 AM,RTD,6/6/2026 12:15:00 AM,CMIN,Rd,39.51,0,,0,39.51,0,0,
6/6/2026 12:10:00 AM,RTD,6/6/2026 12:15:00 AM,CLUZ,Rd,185,0,,0,185,0,0,
6/6/2026 12:10:00 AM,RTD,6/6/2026 12:15:00 AM,CVIS,Rd,42.90,0,,0,42.90,0,0,
