RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,COMMODITY_TYPE,MKT_REQT,LOAD_BID,LOAD_CURTAILED,LOSSES,GENERATION,MKT_IMPORT,MKT_EXPORT,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CVIS,Dr,93,0,,0,93,0,0,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CMIN,Dr,100,0,,0,100,0,0,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CLUZ,Dr,657,0,,0,657,0,0,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CMIN,En,1941.50,0,0,52.04,2443.57,0,450,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CLUZ,En,10293.13,0,0,207.17,10422.77,77.50,0,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CVIS,En,1795.43,0,0,16.81,1439.76,450,77.50,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CMIN,Fr,100,0,,0,100,0,0,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CVIS,Fr,93,0,,0,93,0,0,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CLUZ,Fr,657,0,,0,657,0,0,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CMIN,Rd,39.34,0,,0,39.34,0,0,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CLUZ,Rd,202.50,0,,0,202.50,0,0,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CVIS,Rd,40.80,0,,0,40.80,0,0,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CVIS,Ru,40.80,0,,0,40.80,0,0,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CMIN,Ru,39.34,0,,0,39.34,0,0,
6/30/2026,RTD,6/30/2026 12:05:00 AM,CLUZ,Ru,202.50,0,,0,202.50,0,0,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CVIS,Dr,93,0,,0,93,0,0,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CMIN,Dr,100,0,,0,100,0,0,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CLUZ,Dr,657,0,,0,657,0,0,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CMIN,En,1938.11,0,0,52.21,2440.28,0,450,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CLUZ,En,10275.06,0,0,206.11,10384.23,96.93,0,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CVIS,En,1785.49,0,0,16.33,1448.76,450,96.93,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CMIN,Fr,100,0,,0,100,0,0,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CVIS,Fr,93,0,,0,93,0,0,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CLUZ,Fr,657,0,,0,657,0,0,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CMIN,Rd,39.34,0,,0,39.34,0,0,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CLUZ,Rd,202.50,0,,0,202.50,0,0,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CVIS,Rd,40.80,0,,0,40.80,0,0,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CVIS,Ru,40.80,0,,0,40.80,0,0,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CMIN,Ru,39.34,0,,0,39.34,0,0,
6/30/2026 12:05:00 AM,RTD,6/30/2026 12:10:00 AM,CLUZ,Ru,202.50,0,,0,202.50,0,0,
6/30/2026 12:10:00 AM,RTD,6/30/2026 12:15:00 AM,CVIS,Dr,93,0,,0,93,0,0,
6/30/2026 12:10:00 AM,RTD,6/30/2026 12:15:00 AM,CMIN,Dr,100,0,,0,100,0,0,
6/30/2026 12:10:00 AM,RTD,6/30/2026 12:15:00 AM,CLUZ,Dr,657,0,,0,657,0,0,
6/30/2026 12:10:00 AM,RTD,6/30/2026 12:15:00 AM,CMIN,En,1932.66,0,0,52.19,2434.83,0,450,
6/30/2026 12:10:00 AM,RTD,6/30/2026 12:15:00 AM,CLUZ,En,10247.24,0,0,204.48,10344.50,107.27,0,
6/30/2026 12:10:00 AM,RTD,6/30/2026 12:15:00 AM,CVIS,En,1779.80,0,0,16.14,1453.23,450,107.27,
6/30/2026 12:10:00 AM,RTD,6/30/2026 12:15:00 AM,CMIN,Fr,100,0,,0,100,0,0,
