RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,COMMODITY_TYPE,MKT_REQT,LOAD_BID,LOAD_CURTAILED,LOSSES,GENERATION,MKT_IMPORT,MKT_EXPORT,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CLUZ,Dr,600,0,,0,600,0,0,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CMIN,Dr,110,0,,0,110,0,0,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CVIS,Dr,93,0,,0,93,0,0,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CLUZ,En,10324.75,0,0,214.50,10689.15,0,150,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CMIN,En,1939.80,0,0,55.77,2419.11,0,423.58,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CVIS,En,2044.43,0,0,29.77,1500.62,573.58,0,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CLUZ,Fr,668,0,,0,668,0,0,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CVIS,Fr,93,0,,0,93,0,0,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CMIN,Fr,110,0,,0,110,0,0,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CMIN,Rd,41.72,0,,0,41.72,0,0,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CLUZ,Rd,234.50,0,,0,234.50,0,0,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CVIS,Rd,41.35,0,,0,41.35,0,0,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CMIN,Ru,41.72,0,,0,41.72,0,0,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CLUZ,Ru,234.50,0,,0,234.50,0,0,
5/20/2026,RTD,5/20/2026 12:05:00 AM,CVIS,Ru,41.35,0,,0,41.35,0,0,
5/20/2026 12:05:00 AM,RTD,5/20/2026 12:10:00 AM,CVIS,Dr,93,0,,0,93,0,0,
5/20/2026 12:05:00 AM,RTD,5/20/2026 12:10:00 AM,CMIN,Dr,110,0,,0,110,0,0,
5/20/2026 12:05:00 AM,RTD,5/20/2026 12:10:00 AM,CLUZ,Dr,600,0,,0,600,0,0,
5/20/2026 12:05:00 AM,RTD,5/20/2026 12:10:00 AM,CMIN,En,1930.74,0,0,54.81,2417.55,0,432.01,
5/20/2026 12:05:00 AM,RTD,5/20/2026 12:10:00 AM,CLUZ,En,10302.73,0,0,214.65,10667.41,0,150,
5/20/2026 12:05:00 AM,RTD,5/20/2026 12:10:00 AM,CVIS,En,2045.15,0,0,30.44,1493.57,582.01,0,
5/20/2026 12:05:00 AM,RTD,5/20/2026 12:10:00 AM,CMIN,Fr,110,0,,0,110,0,0,
5/20/2026 12:05:00 AM,RTD,5/20/2026 12:10:00 AM,CVIS,Fr,93,0,,0,93,0,0,
5/20/2026 12:05:00 AM,RTD,5/20/2026 12:10:00 AM,CLUZ,Fr,668,0,,0,668,0,0,
5/20/2026 12:05:00 AM,RTD,5/20/2026 12:10:00 AM,CMIN,Rd,41.72,0,,0,41.72,0,0,
5/20/2026 12:05:00 AM,RTD,5/20/2026 12:10:00 AM,CLUZ,Rd,234.50,0,,0,234.50,0,0,
5/20/2026 12:05:00 AM,RTD,5/20/2026 12:10:00 AM,CVIS,Rd,41.35,0,,0,41.35,0,0,
5/20/2026 12:05:00 AM,RTD,5/20/2026 12:10:00 AM,CVIS,Ru,41.35,0,,0,41.35,0,0,
5/20/2026 12:05:00 AM,RTD,5/20/2026 12:10:00 AM,CMIN,Ru,41.72,0,,0,41.72,0,0,
