RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,COMMODITY_TYPE,MKT_REQT,LOAD_BID,LOAD_CURTAILED,LOSSES,GENERATION,MKT_IMPORT,MKT_EXPORT,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CVIS,Dr,134,0,,0,134,0,0,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CMIN,Dr,105,0,,0,105,0,0,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CLUZ,Dr,668,0,,0,668,0,0,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CMIN,En,2163.42,0,0,61.05,2676.92,0,450,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CLUZ,En,10819.20,148,0,234.79,10963.73,238.33,0,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CVIS,En,2100.65,0,0,18.24,1907.20,450,238.33,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CMIN,Fr,105,0,,0,105,0,0,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CVIS,Fr,150,0,,0,150,0,0,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CLUZ,Fr,668,0,,0,668,0,0,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CMIN,Rd,36.73,0,,0,36.73,0,0,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CLUZ,Rd,209,0,,0,209,0,0,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CVIS,Rd,39.45,0,,0,39.45,0,0,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CVIS,Ru,39.45,0,,0,39.45,0,0,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CMIN,Ru,36.73,0,,0,36.73,0,0,
4/25/2026,RTD,4/25/2026 12:05:00 AM,CLUZ,Ru,209,0,,0,209,0,0,
4/25/2026 12:05:00 AM,RTD,4/25/2026 12:10:00 AM,CLUZ,Dr,668,0,,0,668,0,0,
