RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,COMMODITY_TYPE,MKT_REQT,LOAD_BID,LOAD_CURTAILED,LOSSES,GENERATION,MKT_IMPORT,MKT_EXPORT,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CLUZ,Dr,665,0,,0,665,0,0,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CMIN,Dr,110,0,,0,110,0,0,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CVIS,Dr,93,0,,0,93,0,0,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CLUZ,En,9509.59,0,0,178.84,9827.10,0,138.75,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CMIN,En,1932.16,0,0,47.06,2312.42,0,333.20,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CVIS,En,1878.66,0,0,23.90,1430.63,471.95,0,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CLUZ,Fr,665,0,,0,665,0,0,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CVIS,Fr,93,0,,0,93,0,0,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CMIN,Fr,110,0,,0,110,0,0,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CMIN,Rd,38.18,0,,0,38.18,0,0,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CLUZ,Rd,209,0,,0,209,0,0,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CVIS,Rd,41.70,0,,0,41.70,0,0,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CMIN,Ru,38.18,0,,0,38.18,0,0,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CLUZ,Ru,209,0,,0,209,0,0,
7/1/2026,RTD,7/1/2026 12:05:00 AM,CVIS,Ru,41.70,0,,0,41.70,0,0,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CVIS,Dr,93,0,,0,93,0,0,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CMIN,Dr,110,0,,0,110,0,0,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CLUZ,Dr,665,0,,0,665,0,0,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CMIN,En,1931.33,0,0,47.09,2308.36,0,329.96,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CLUZ,En,9456.09,0,0,181.46,9809.48,0,171.82,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CVIS,En,1869.15,0,0,26.24,1393.63,501.78,0,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CMIN,Fr,110,0,,0,110,0,0,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CVIS,Fr,93,0,,0,93,0,0,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CLUZ,Fr,665,0,,0,665,0,0,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CMIN,Rd,38.18,0,,0,38.18,0,0,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CLUZ,Rd,209,0,,0,209,0,0,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CVIS,Rd,41.70,0,,0,41.70,0,0,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CVIS,Ru,41.70,0,,0,41.70,0,0,
7/1/2026 12:05:00 AM,RTD,7/1/2026 12:10:00 AM,CMIN,Ru,38.18,0,,0,38.18,0,0,
